,trip_id,arrival_time,departure_time,stop_sequence,trip_headsign,direction_id,route_id,wheelchair_accessible,bikes_allowed,stop_lat,stop_lon,stop_name,is_express
96375,2727588_1735,05:17:42,05:17:42,14,20 Springdale NB,0,20,1,1,30.234531,-97.723244,1971 Pleasant Valley/Riverside WB,False
288855,2732822_6752,05:17:43,05:17:43,9,345 Hancock Center EB,1,345,1,1,30.308071,-97.727271,201 45th/Avenue F,False
264881,2731891_6085,05:17:45,05:17:45,17,333 Oak Hill WB,0,333,1,1,30.193894,-97.780466,200 William Cannon/Starstreak,False
76684,2726824_1067,05:17:46,05:17:46,4,135 Tech Ridge Park & Ride NB,0,135,1,1,30.277589,-97.700657,1215 Airport/12th,False
239061,2731157_5342,05:17:51,05:17:51,11,323 Northcross WB,0,323,1,1,30.354217,-97.732117,Northcross Station (SB),False
228168,2730789_4939,05:17:52,05:17:52,9,318 Westgate Transit Center WB,1,318,1,1,30.169519,-97.795847,324 Slaughter/Francia,False
8184,2726088_0110,05:18:00,05:18:00,10,1 William Cannon SB,0,1,1,1,30.382734,-97.686052,11300 Lamar/Braker,False
135675,2729133_3220,05:18:00,05:18:00,21,3 Arboretum NB,1,3,1,1,30.216254,-97.796781,5501 Menchaca/Stassney,False
212501,2730100_4439,05:18:00,05:18:00,20,311 Westgate Transit Center WB,0,311,1,1,30.205325,-97.775422,118 Stassney/Congress,False
335217,2734662_8547,05:18:00,05:18:00,21,5 Tannehill EB,0,5,1,1,30.315717,-97.73635,Sunshine Station (SB),False
341510,2734699_8650,05:18:00,05:18:00,31,5 Northcross WB,1,5,1,1,30.275304,-97.752067,1005 Lamar/10th,False
443568,2737198_14457,05:18:00,05:18:00,14,801 Southpark Meadows SB,1,801,1,1,30.291145,-97.741349,UT Dean Keeton Station (SB),False
162782,2729316_3519,05:18:02,05:18:02,25,30 Westgate Transit Center SB,1,30,1,1,30.331464,-97.75715,Hancock/Valley Oak,False
316047,2733706_7667,05:18:02,05:18:02,19,4 Shady EB,1,4,1,1,30.260046,-97.709625,2789 7th/Pleasant Valley,False
87464,2727408_1461,05:18:03,05:18:03,8,2 Springdale NB,1,2,1,1,30.25853,-97.72848,1600 Cesar Chavez/Comal,False
220351,2730655_4671,05:18:03,05:18:03,6,315 S. Congress Transit Center EB,0,315,1,1,30.235685,-97.828488,5107 290 Hwy/Staggerbrush,False
259072,2731955_5949,05:18:06,05:18:06,18,333 Thaxton EB,1,333,1,1,30.211188,-97.831853,7201 Brodie/Convict Hill,False
145842,2729077_3326,05:18:07,05:18:07,12,3 Southpark Meadows SB,0,3,1,1,30.367142,-97.728061,Burnet/Rockwood,False
204847,2730166_4243,05:18:08,05:18:08,10,311 ACC RIVERSIDE EB,1,311,1,1,30.218687,-97.805931,Stassney/Westgate,False
252595,2731619_5779,05:18:09,05:18:09,13,325 Norwood Transit Center SB,0,325,1,1,30.39488,-97.706822,11510 Metric/Stonehollow,False
232362,2730992_5041,05:18:10,05:18:10,21,322 Hancock Center NB,1,322,1,1,30.284125,-97.721478,Dean Keeton/Lafayette,False
410133,2736572_13819,05:18:11,05:18:11,51,7 William Cannon SB,0,7,1,1,30.204578,-97.753199,4910 Freidrich/Teri,False
2877,2726197_0039,05:18:19,05:18:19,28,1 Tech Ridge Park & Ride NB,1,1,1,1,30.277383,-97.741894,Lavaca/15th,False
223488,2730753_4837,05:18:21,05:18:21,21,318 Thaxton EB,0,318,1,1,30.193687,-97.831489,West Gate/Piney Creek,False
299162,2733194_7160,05:18:24,05:18:24,14,383 Lakeline Station NB,0,383,1,1,30.391198,-97.739283,10001 Stonelake/Capital of Texas,False
341511,2734699_8650,05:18:25,05:18:25,32,5 Northcross WB,1,5,1,1,30.276741,-97.751339,1117 Lamar/12th,False
46807,2726327_0637,05:18:27,05:18:27,48,10 Southpark Meadows SB,0,10,1,1,30.232131,-97.766035,3310 S 1st/Cardinal,False
